year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,1,Harvard University,96.1,99.7,98.7,98.8,34.5,72.4
2011,2,California Institute of Technology,96.0,97.7,98.0,99.9,83.7,54.6
2011,3,Massachusetts Institute of Technology,95.6,97.8,91.4,99.9,87.5,82.3
2011,4,Stanford University,94.3,98.3,98.1,99.2,64.3,29.5
2011,5,Princeton University,94.2,90.9,95.4,99.9,-,70.3
2011,6,University of Cambridge,91.2,90.5,94.1,94.0,57.0,77.7
2011,6,University of Oxford,91.2,88.2,93.9,95.1,73.5,77.2
2011,8,"University of California, Berkeley",91.1,84.2,99.3,97.8,-,39.6
2011,9,Imperial College London,90.6,89.2,94.5,88.3,92.9,90.0
2011,10,Yale University,89.5,92.1,89.7,91.5,-,59.2
2011,11,"University of California, Los Angeles",87.7,83.0,92.9,93.2,-,48.1
2011,12,The University of Chicago,86.9,79.1,87.9,96.9,-,62.8
2011,13,Johns Hopkins University,86.4,80.9,89.2,92.3,100.0,58.5
2011,14,Cornell University,83.9,82.2,88.8,88.1,34.7,62.4
2011,15,ETH Zurich,83.4,77.5,87.8,83.1,-,93.7
2011,15,University of Michigan-Ann Arbor,83.4,83.9,89.1,84.1,59.6,53.3
2011,17,University of Toronto,82.0,75.8,87.9,82.2,-,-
2011,18,Columbia University,81.0,73.8,73.8,92.6,-,90.9
2011,19,University of Pennsylvania,79.5,71.8,82.7,93.6,43.7,32.9
2011,20,Carnegie Mellon University,79.3,70.3,79.3,95.7,53.7,39.1
2011,21,University of Hong Kong,79.2,68.4,71.4,96.1,56.5,91.4
2011,22,UCL,78.4,74.0,81.6,80.6,39.0,90.8
2011,23,University of Washington,78.0,68.2,77.1,95.9,32.8,49.0
2011,24,Duke University,76.5,66.8,71.5,92.3,100.0,49.4
2011,25,Northwestern University,75.9,64.5,68.8,95.3,-,60.5
2011,26,The University of Tokyo,75.6,87.7,91.9,58.1,-,18.4
2011,27,Georgia Institute of Technology,75.3,67.9,72.6,83.2,95.1,73.2
2011,28,Pohang University of Science and Technology (POSTECH),75.1,69.5,62.5,96.5,100.0,32.6
2011,29,"University of California, Santa Barbara",75.0,56.6,68.0,98.8,89.8,64.3
2011,30,University of North Carolina at Chapel Hill,73.8,70.9,75.1,85.0,50.2,21.5
2011,30,University of British Columbia,73.8,65.1,74.8,80.3,42.6,93.3
2011,32,"University of California, San Diego",73.2,59.8,76.3,90.8,51.8,31.6
2011,33,University of Illinois at Urbana-Champaign,73.0,68.1,80.9,72.9,-,55.9
2011,34,National University of Singapore,72.9,65.5,72.6,78.7,40.5,97.8
2011,35,McGill University,71.7,69.0,74.9,69.0,-,85.9
2011,36,University of Melbourne,71.0,58.7,69.2,83.3,47.7,88.0
2011,37,Peking University,70.7,76.4,61.3,72.2,98.6,68.6
2011,38,Washington University in St Louis,69.9,58.9,63.0,88.6,-,56.4
2011,39,École Polytechnique – Institut Polytechnique de Paris,69.5,57.9,56.1,91.4,-,77.9
2011,40,University of Edinburgh,69.2,59.9,61.9,86.8,42.2,67.3
