year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,1,California Institute of Technology,United States,95.5,96.3,99.4,99.7,95.6,59.8
2013,2,Stanford University,United States,93.7,95.0,98.8,99.3,62.4,56.6
2013,2,University of Oxford,United Kingdom,93.7,89.7,98.1,95.6,79.8,88.7
2013,4,Harvard University,United States,93.6,94.9,98.6,99.2,39.9,63.7
2013,5,Massachusetts Institute of Technology,United States,93.1,92.9,89.2,99.9,92.9,81.6
2013,6,Princeton University,United States,92.7,89.5,99.4,99.8,79.5,54.5
2013,7,University of Cambridge,United Kingdom,92.6,91.2,95.6,96.2,59.1,83.6
2013,8,Imperial College London,United Kingdom,90.6,88.0,90.9,93.0,87.5,91.4
2013,9,"University of California, Berkeley",United States,90.5,85.1,99.3,99.3,65.4,49.7
2013,10,The University of Chicago,United States,90.4,89.6,92.9,98.7,-,55.3
2013,11,Yale University,United States,89.2,93.2,92.5,94.8,38.2,54.7
2013,12,ETH Zurich,Switzerland,87.8,82.5,92.7,86.6,-,95.7
2013,13,"University of California, Los Angeles",United States,87.7,87.3,93.8,95.9,-,42.3
2013,14,Columbia University,United States,87.0,89.7,82.0,96.1,-,66.1
2013,15,University of Pennsylvania,United States,86.6,90.0,89.4,96.2,43.7,38.1
2013,16,Johns Hopkins University,United States,85.6,81.8,85.5,95.3,100.0,57.3
2013,17,UCL,United Kingdom,85.5,83.5,88.8,86.8,45.1,89.0
2013,18,Cornell University,United States,83.3,77.0,92.1,91.8,39.5,53.8
2013,19,Northwestern University,United States,83.1,77.6,87.3,98.2,64.4,33.8
2013,20,University of Michigan-Ann Arbor,United States,82.6,76.1,91.4,91.6,53.9,47.6
2013,21,University of Toronto,Canada,82.2,79.6,89.4,85.1,42.9,65.1
2013,22,Carnegie Mellon University,United States,81.5,71.8,87.0,95.5,55.9,51.4
2013,23,Duke University,United States,81.2,72.3,81.5,97.0,100.0,45.8
2013,24,University of Washington,United States,79.9,74.7,81.3,97.0,41.3,39.1
2013,25,University of Texas at Austin,United States,78.8,75.5,80.7,91.0,57.9,42.1
2013,25,Georgia Institute of Technology,United States,78.8,70.2,79.5,90.3,74.9,66.3
2013,27,The University of Tokyo,Japan,78.3,87.9,89.9,71.3,59.0,27.6
2013,28,University of Melbourne,Australia,77.9,68.4,82.5,83.7,67.6,77.2
2013,29,National University of Singapore,Singapore,77.5,74.4,87.2,67.2,77.4,92.3
2013,30,University of British Columbia,Canada,77.3,69.1,80.4,84.0,42.4,82.1
2013,31,University of Wisconsin-Madison,United States,76.9,76.1,80.1,88.2,54.8,29.8
2013,32,University of Edinburgh,United Kingdom,76.1,68.4,71.3,90.8,43.8,78.9
2013,33,University of Illinois at Urbana-Champaign,United States,75.8,74.2,84.9,80.8,-,36.0
2013,34,McGill University,Canada,75.7,74.4,80.4,75.2,40.3,75.9
2013,35,"University of California, Santa Barbara",United States,75.6,56.1,73.5,99.4,100.0,58.3
2013,35,University of Hong Kong,Hong Kong,75.6,78.4,85.9,62.1,62.5,81.7
2013,37,Australian National University,Australia,75.4,68.6,83.5,73.5,39.6,90.0
2013,38,"University of California, San Diego",United States,75.2,63.4,79.0,96.2,43.9,34.2
2013,39,London School of Economics and Political Science,United Kingdom,73.1,70.8,80.8,66.5,42.9,87.2
2013,40,École Polytechnique Fédérale de Lausanne,Switzerland,73.0,62.4,57.0,95.0,49.8,98.8
2013,41,New York University,United States,72.8,73.8,67.4,89.2,29.5,38.7
2013,42,Karolinska Institute,Sweden,72.4,66.3,75.7,77.3,71.4,64.5
2013,42,University of North Carolina at Chapel Hill,United States,72.4,70.4,69.3,90.1,40.0,32.9
2013,44,"University of California, Davis",United States,71.8,67.9,71.6,82.7,52.5,51.7
2013,44,Washington University in St Louis,United States,71.8,66.0,62.8,95.2,-,44.3
2013,46,Peking University,China,70.7,81.5,67.9,64.3,99.9,54.1
2013,47,University of Minnesota,United States,70.5,66.1,74.0,84.7,-,28.7
2013,48,LMU Munich,Germany,70.4,65.4,66.5,85.5,42.0,54.7
2013,49,University of Manchester,United Kingdom,70.1,65.9,67.7,76.9,43.2,77.9
2013,50,Pohang University of Science and Technology (POSTECH),South Korea,69.4,63.9,63.9,88.2,100.0,28.8
2013,51,Brown University,United States,68.9,63.7,60.3,94.1,29.9,36.9
