year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2015,1,California Institute of Technology,United States,,,,
2015,2,Harvard University,United States,,,,
2015,3,University of Oxford,United Kingdom,,,,
2015,4,Stanford University,United States,,,,
2015,5,University of Cambridge,United Kingdom,,,,
2015,6,Massachusetts Institute of Technology,United States,,,,
2015,7,Princeton University,United States,,,,
2015,8,"University of California, Berkeley",United States,,,,
2015,9,Yale University,United States,,,,
2015,9,Imperial College London,United Kingdom,,,,
2015,11,The University of Chicago,United States,,,,
2015,12,"University of California, Los Angeles",United States,,,,
2015,13,ETH Zurich,Switzerland,,,,
2015,14,Columbia University,United States,,,,
2015,15,Johns Hopkins University,United States,,,,
2015,16,University of Pennsylvania,United States,,,,
2015,17,University of Michigan-Ann Arbor,United States,,,,
2015,18,Duke University,United States,,,,
2015,19,Cornell University,United States,,,,
2015,20,University of Toronto,Canada,,,,
2015,21,Northwestern University,United States,,,,
2015,22,UCL,United Kingdom,,,,
2015,23,The University of Tokyo,Japan,,,,
2015,24,Carnegie Mellon University,United States,,,,
2015,25,National University of Singapore,Singapore,,,,
2015,26,University of Washington,United States,,,,
2015,27,Georgia Institute of Technology,United States,,,,
2015,28,University of Texas at Austin,United States,,,,
2015,29,LMU Munich,Germany,,,,
2015,29,University of Wisconsin-Madison,United States,,,,
2015,29,University of Illinois at Urbana-Champaign,United States,,,,
2015,32,University of British Columbia,Canada,,,,
2015,33,University of Melbourne,Australia,,,,
2015,34,École Polytechnique Fédérale de Lausanne,Switzerland,,,,
2015,34,London School of Economics and Political Science,United Kingdom,,,,
2015,36,University of Edinburgh,United Kingdom,,,,
2015,37,"University of California, Santa Barbara",United States,,,,
2015,38,New York University,United States,,,,
2015,39,McGill University,Canada,,,,
2015,40,King’s College London,United Kingdom,,,,
2015,41,"University of California, San Diego",United States,,,,
2015,42,Washington University in St Louis,United States,,,,
2015,43,University of Hong Kong,Hong Kong,,,,
2015,44,Karolinska Institute,Sweden,,,,
2015,45,Australian National University,Australia,,,,
2015,46,University of Minnesota,United States,,,,
2015,46,University of North Carolina at Chapel Hill,United States,,,,
2015,48,Peking University,China,,,,
2015,49,Tsinghua University,China,,,,
2015,50,Seoul National University,South Korea,,,,
2015,51,The Hong Kong University of Science and Technology,Hong Kong,,,,
2015,52,University of Manchester,United Kingdom,,,,
2015,52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,,,,
2015,54,Brown University,United States,,,,
2015,55,KU Leuven,Belgium,,,,
2015,55,"University of California, Davis",United States,,,,
2015,57,Boston University,United States,,,,
2015,58,Penn State (Main campus),United States,,,,
2015,59,Kyoto University,Japan,,,,
2015,60,The University of Sydney,Australia,,,,
2015,61,École Polytechnique – Institut Polytechnique de Paris,France,,,,
2015,61,"Nanyang Technological University, Singapore",Singapore,,,,
2015,63,Scuola Normale Superiore di Pisa,Italy,,,,
2015,64,Leiden University,Netherlands,,,,
2015,65,The University of Queensland,Australia,,,,
2015,66,Pohang University of Science and Technology (POSTECH),South Korea,,,,
2015,67,University of Göttingen,Germany,,,,
2015,68,Ohio State University (Main campus),United States,,,,
2015,69,Rice University,United States,,,,
2015,70,Universität Heidelberg,Germany,,,,
2015,71,Delft University of Technology,Netherlands,,,,
2015,72,Erasmus University Rotterdam,Netherlands,,,,
2015,73,Wageningen University & Research,Netherlands,,,,
2015,74,University of Bristol,United Kingdom,,,,
2015,75,University of Basel,Switzerland,,,,
2015,75,University of Southern California,United States,,,,
2015,77,University of Amsterdam,Netherlands,,,,
2015,78,École Normale Supérieure,France,,,,
2015,79,Utrecht University,Netherlands,,,,
2015,80,Humboldt University of Berlin,Germany,,,,
2015,81,Free University of Berlin,Germany,,,,
2015,82,Michigan State University,United States,,,,
2015,83,Durham University,United Kingdom,,,,
2015,83,Monash University,Australia,,,,
2015,85,Middle East Technical University,Turkey,,,,
2015,86,University of Notre Dame,United States,,,,
2015,86,University of Arizona,United States,,,,
2015,88,"University of California, Irvine",United States,,,,
2015,88,Tufts University,United States,,,,
2015,90,Ghent University,Belgium,,,,
2015,91,University of Pittsburgh-Pittsburgh campus,United States,,,,
2015,91,University of Massachusetts,United States,,,,
2015,93,Emory University,United States,,,,
2015,94,McMaster University,Canada,,,,
2015,94,University of Glasgow,United Kingdom,,,,
2015,96,Vanderbilt University,United States,,,,
2015,97,University of Colorado Boulder,United States,,,,
2015,98,Uppsala University,Sweden,,,,
2015,98,Technical University of Munich,Germany,,,,
2015,98,Stockholm University,Sweden,,,,
2015,101,Maastricht University,Netherlands,,,,
2015,102,Purdue University West Lafayette,United States,,,,
2015,103,Pierre and Marie Curie University,France,,,,
2015,103,University of Warwick,United Kingdom,,,,
2015,103,University of Helsinki,Finland,,,,
2015,103,University of Zurich,Switzerland,,,,
2015,107,University of Geneva,Switzerland,,,,
2015,107,Queen Mary University of London,United Kingdom,,,,
2015,109,UNSW Sydney,Australia,,,,
2015,109,"University of California, Santa Cruz",United States,,,,
2015,111,University of St Andrews,United Kingdom,,,,
2015,111,University of Sussex,United Kingdom,,,,
2015,113,University of York,United Kingdom,,,,
2015,113,Université de Montréal,Canada,,,,
2015,113,University of Tübingen,Germany,,,,
2015,116,Case Western Reserve University,United States,,,,
2015,117,University of Groningen,Netherlands,,,,
2015,118,"Royal Holloway, University of London",United Kingdom,,,,
2015,119,Lund University,Sweden,,,,
2015,120,Paris-Sud University,France,,,,
2015,121,University of Sheffield,United Kingdom,,,,
2015,121,Technical University of Denmark,Denmark,,,,
2015,121,University of Rochester,United States,,,,
2015,124,University of Cape Town,South Africa,,,,
2015,124,University of Alberta,Canada,,,,
2015,126,KTH Royal Institute of Technology,Sweden,,,,
2015,126,University of Florida,United States,,,,
2015,126,Boston College,United States,,,,
2015,129,The Chinese University of Hong Kong,Hong Kong,,,,
2015,130,University of Virginia (Main campus),United States,,,,
2015,131,Lancaster University,United Kingdom,,,,
2015,132,University of Southampton,United Kingdom,,,,
2015,132,University of Bern,Switzerland,,,,
2015,132,"University of Maryland, College Park",United States,,,,
2015,135,TU Dresden,Germany,,,,
2015,136,Vrije Universiteit Amsterdam,Netherlands,,,,
2015,136,University of Lausanne,Switzerland,,,,
2015,138,Trinity College Dublin,Ireland,,,,
2015,139,Boğaziçi University,Turkey,,,,
2015,140,Radboud University Nijmegen,Netherlands,,,,
2015,141,Texas A&M University,United States,,,,
2015,141,Tokyo Institute of Technology,Japan,,,,
2015,141,Colorado School of Mines,United States,,,,
2015,144,Eindhoven University of Technology,Netherlands,,,,
2015,144,Rutgers University–New Brunswick,United States,,,,
2015,146,University of Leeds,United Kingdom,,,,
2015,147,Brandeis University,United States,,,,
2015,148,University of Birmingham,United Kingdom,,,,
2015,148,Sungkyunkwan University (SKKU),South Korea,,,,
2015,150,Indiana University,United States,,,,
2015,150,"University of California, Riverside",United States,,,,
2015,152,Dartmouth College,United States,,,,
2015,153,Aarhus University,Denmark,,,,
2015,154,University of Exeter,United Kingdom,,,,
2015,155,National Taiwan University (NTU),Taiwan,,,,
2015,156,RWTH Aachen University,Germany,,,,
2015,157,University of Liverpool,United Kingdom,,,,
2015,157,The University of Western Australia,Australia,,,,
2015,157,The University of Osaka,Japan,,,,
2015,160,École Normale Supérieure de Lyon,France,,,,
2015,160,University of Copenhagen,Denmark,,,,
2015,162,University of Utah,United States,,,,
2015,163,University of Freiburg,Germany,,,,
2015,164,University of Adelaide,Australia,,,,
2015,165,Tohoku University,Japan,,,,
2015,165,Istanbul Technical University,Turkey,,,,
2015,165,Pompeu Fabra University,Spain,,,,
2015,165,Karlsruhe Institute of Technology,Germany,,,,
2015,169,University of Miami,United States,,,,
2015,170,University of Antwerp,Belgium,,,,
2015,171,University of Nottingham,United Kingdom,,,,
2015,171,Université Catholique de Louvain,Belgium,,,,
2015,173,Georgetown University,United States,,,,
2015,173,University of Victoria,Canada,,,,
2015,175,University of Auckland,New Zealand,,,,
2015,175,University of Iowa,United States,,,,
2015,177,Syracuse University,United States,,,,
2015,178,Joseph Fourier University,France,,,,
2015,178,University of Aberdeen,United Kingdom,,,,
2015,180,Paris Diderot University – Paris 7,France,,,,
2015,180,University of Delaware,United States,,,,
2015,182,University of Vienna,Austria,,,,
2015,182,Arizona State University (Tempe),United States,,,,
2015,182,Sabancı University,Turkey,,,,
2015,185,"Northeastern University, US",United States,,,,
2015,186,University of Oslo,Norway,,,,
2015,186,Yeshiva University,United States,,,,
2015,188,University of Ottawa,Canada,,,,
2015,188,Tel Aviv University,Israel,,,,
2015,188,Stony Brook University,United States,,,,
2015,191,University at Buffalo,United States,,,,
2015,192,City University of Hong Kong,Hong Kong,,,,
2015,193,Iowa State University,United States,,,,
2015,193,Fudan University,China,,,,
2015,195,University of Bonn,Germany,,,,
2015,196,Lomonosov Moscow State University,Russian Federation,,,,
2015,196,"St George’s, University of London",United Kingdom,,,,
2015,198,University of East Anglia,United Kingdom,,,,
2015,199,University of Leicester,United Kingdom,,,,
2015,200,Florida Institute of Technology,United States,,,,
2015,200,George Washington University,United States,,,,
2015,201-225,University of Twente,Netherlands,,,,
2015,201-225,Hebrew University of Jerusalem,Israel,,,,
2015,201-225,Wake Forest University,United States,,,,
2015,201-225,Ulm University,Germany,,,,
2015,201-225,Korea University,South Korea,,,,
2015,201-225,University of Reading,United Kingdom,,,,
2015,201-225,Université Libre de Bruxelles,Belgium,,,,
2015,201-225,Cardiff University,United Kingdom,,,,
2015,201-225,Bilkent University,Turkey,,,,
