year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2016,1,California Institute of Technology,"2,243",6.9,26%,33 : 67
2016,2,University of Oxford,"19,920",11.6,34%,46 : 54
2016,3,Stanford University,"15,596",7.8,22%,42 : 58
2016,4,University of Cambridge,"18,810",11.8,34%,46 : 54
2016,5,Massachusetts Institute of Technology,"11,074",9.0,33%,37 : 63
2016,6,Harvard University,"20,152",8.9,25%,
2016,7,Princeton University,"7,929",8.4,27%,45 : 55
2016,8,Imperial College London,"15,060",11.7,51%,37 : 63
2016,9,ETH Zurich,"18,178",14.7,37%,31 : 69
2016,10,The University of Chicago,"14,221",6.9,20%,42 : 58
2016,11,Johns Hopkins University,"15,128",3.6,23%,50 : 50
2016,12,Yale University,"11,751",4.4,20%,50 : 50
2016,13,"University of California, Berkeley","36,186",16.4,15%,50 : 50
2016,14,UCL,"26,605",10.7,46%,56 : 44
2016,15,Columbia University,"25,055",5.9,28%,
2016,16,"University of California, Los Angeles","38,206",10.3,15%,52 : 48
2016,17,University of Pennsylvania,"20,376",6.5,20%,51 : 49
2016,18,Cornell University,"21,424",10.2,19%,48 : 52
2016,19,University of Toronto,"66,198",19.5,15%,
2016,20,Duke University,"15,172",4.8,17%,49 : 51
2016,21,University of Michigan-Ann Arbor,"41,786",9.0,16%,48 : 52
2016,22,Carnegie Mellon University,"11,885",13.1,35%,39 : 61
2016,23,London School of Economics and Political Science,"9,235",12.1,70%,53 : 47
2016,24,University of Edinburgh,"25,775",14.1,36%,58 : 42
2016,25,Northwestern University,"18,334",13.8,15%,48 : 52
2016,26,National University of Singapore,"31,592",15.5,34%,49 : 51
2016,27,King’s College London,"21,395",11.4,37%,61 : 39
2016,28,Karolinska Institute,"7,774",11.5,22%,70 : 30
2016,29,LMU Munich,"35,691",15.5,13%,62 : 38
2016,30,New York University,"42,056",6.8,19%,55 : 45
2016,31,École Polytechnique Fédérale de Lausanne,"9,666",10.5,54%,27 : 73
2016,32,University of Washington,"44,020",11.8,13%,53 : 47
2016,33,University of Melbourne,"40,128",23.7,35%,55 : 45
2016,34,University of British Columbia,"50,152",17.6,25%,54 : 46
2016,35,KU Leuven,"42,503",41.9,18%,54 : 46
2016,36,University of Illinois at Urbana-Champaign,"42,727",18.7,20%,47 : 53
2016,37,Universität Heidelberg,"28,881",24.5,17%,55 : 45
2016,38,McGill University,"31,326",13.7,23%,56 : 44
2016, =39,"University of California, San Diego","27,233",6.5,11%,48 : 52
2016, =39,"University of California, Santa Barbara","22,020",27.3,11%,52 : 48
2016,41,Georgia Institute of Technology,"19,967",20.1,26%,31 : 69
2016,42,Peking University,"40,148",8.3,14%,
2016,43,The University of Tokyo,"26,199",5.7,10%,
