year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2020,1,University of Oxford,"20,665",11.2,41%,46 : 54,
2020,2,California Institute of Technology,"2,240",6.4,30%,34 : 66,
2020,3,University of Cambridge,"18,980",10.9,37%,47 : 53,
2020,4,Stanford University,"16,135",7.3,23%,43 : 57,
2020,5,Massachusetts Institute of Technology,"11,247",8.6,34%,39 : 61,
2020,6,Princeton University,"7,983",8.1,25%,45 : 55,
2020,7,Harvard University,"20,823",9.2,24%,49 : 51,
2020,8,Yale University,"12,402",5.4,20%,50 : 50,
2020,9,The University of Chicago,"13,833",5.7,28%,46 : 54,
2020,10,Imperial College London,"16,760",11.6,56%,38 : 62,
2020,11,University of Pennsylvania,"20,578",6.5,21%,52 : 48,
2020,12,Johns Hopkins University,"16,171",4.5,26%,52 : 48,
2020,13,"University of California, Berkeley","41,081",13.7,17%,50 : 50,=
2020,13,ETH Zurich,"18,956",12.5,39%,32 : 68,=
2020,15,UCL,"32,665",10.6,52%,57 : 43,
2020,16,Columbia University,"26,586",5.8,37%,,
2020,17,"University of California, Los Angeles","41,066",9.4,17%,54 : 46,
2020,18,University of Toronto,"73,370",20.1,21%,59 : 41,
2020,19,Cornell University,"22,319",9.8,25%,49 : 51,
2020,20,Duke University,"15,309",4.3,19%,49 : 51,
2020,21,University of Michigan-Ann Arbor,"42,982",8.3,17%,49 : 51,
2020,22,Northwestern University,"17,951",12.8,20%,49 : 51,
2020,23,Tsinghua University,"38,783",12.0,11%,34 : 66,
2020,24,Peking University,"39,575",11.5,15%,46 : 54,
2020,25,National University of Singapore,"30,869",17.9,28%,51 : 49,
2020,26,University of Washington,"45,692",11.1,16%,53 : 47,
2020,27,Carnegie Mellon University,"13,430",13.6,48%,41 : 59,=
2020,27,London School of Economics and Political Science,"10,570",12.1,71%,53 : 47,=
2020,29,New York University,"44,466",8.9,33%,57 : 43,
2020,30,University of Edinburgh,"29,435",12.8,41%,60 : 40,
2020,31,"University of California, San Diego","33,579",13.0,23%,46 : 54,
2020,32,LMU Munich,"34,519",34.7,17%,61 : 39,=
2020,32,University of Melbourne,"47,385",26.3,46%,56 : 44,=
2020,34,University of British Columbia,"52,108",18.1,32%,55 : 45,
2020,35,University of Hong Kong,"18,260",18.2,44%,54 : 46,
2020,36,King’s College London,"26,055",12.5,44%,62 : 38,=
2020,36,The University of Tokyo,"25,913",10.6,12%,,=
2020,38,École Polytechnique Fédérale de Lausanne,"10,492",11.4,59%,28 : 72,=
2020,38,Georgia Institute of Technology,"21,372",18.3,27%,33 : 67,=
2020,38,University of Texas at Austin,"49,165",17.2,10%,52 : 48,=
2020,41,Karolinska Institute,"7,777",9.0,20%,68 : 32,
2020,42,McGill University,"31,294",13.0,29%,58 : 42,
2020,43,Technical University of Munich,"40,472",47.8,27%,34 : 66,
2020,44,Universität Heidelberg,"20,800",16.1,18%,54 : 46,
2020,45,KU Leuven,"45,049",36.3,15%,50 : 50,=
2020,45,Paris Sciences et Lettres – PSL Research University Paris,"21,298",11.5,26%,46 : 54,=
2020,47,The Hong Kong University of Science and Technology,"10,125",22.3,31%,,
2020,48,University of Illinois at Urbana-Champaign,"44,916",17.9,24%,47 : 53,=
2020,48,"Nanyang Technological University, Singapore","25,088",15.9,27%,48 : 52,=
2020,50,Australian National University,"17,359",17.8,44%,52 : 48,
2020,51,University of Wisconsin-Madison,"39,154",10.0,13%,,
