year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,1,University of Oxford,98.5,96.6,100.0,99.0,98.7,97.5,
2024,2,Stanford University,98.0,99.0,97.8,99.6,100.0,87.0,
2024,3,Massachusetts Institute of Technology,97.9,98.6,96.2,99.7,100.0,93.8,
2024,4,Harvard University,97.8,97.7,99.9,99.4,84.2,90.8,
2024,5,University of Cambridge,97.5,95.8,100.0,98.0,87.9,97.4,
2024,6,Princeton University,96.9,96.3,97.9,98.8,95.1,89.1,
2024,7,California Institute of Technology,96.5,96.6,98.0,95.9,100.0,90.6,
2024,8,Imperial College London,95.1,90.9,95.5,98.6,90.9,98.3,
2024,9,"University of California, Berkeley",94.6,87.2,98.8,99.0,99.4,86.8,
2024,10,Yale University,94.2,94.0,94.9,97.7,86.5,82.4,
2024,11,ETH Zurich,93.1,87.6,96.8,95.6,82.9,95.6,
2024,12,Tsinghua University,92.4,95.3,98.1,93.2,99.9,51.7,
2024,13,The University of Chicago,92.1,89.6,91.2,97.6,93.8,82.3,
2024,14,Peking University,91.8,95.6,97.3,87.2,98.8,70.2,
2024,15,Johns Hopkins University,91.1,84.4,92.3,97.2,100.0,84.2,
2024,16,University of Pennsylvania,91.0,87.7,89.7,97.6,97.7,78.8,
2024,17,Columbia University,90.9,88.6,89.7,97.4,75.2,86.9,
2024,18,"University of California, Los Angeles",90.1,85.7,91.9,96.4,92.3,74.3,
2024,19,National University of Singapore,90.0,78.8,94.0,95.4,100.0,91.1,
2024,20,Cornell University,89.5,85.7,88.7,97.6,69.4,86.0,
2024,21,University of Toronto,88.6,77.5,94.1,92.8,96.1,90.7,
2024,22,UCL,88.1,78.4,86.4,98.6,75.2,97.9,
2024,23,University of Michigan-Ann Arbor,87.4,84.7,87.4,95.5,80.7,69.0,
2024,24,Carnegie Mellon University,86.3,75.0,84.6,98.9,87.3,85.5,
2024,25,University of Washington,85.3,78.0,83.5,98.2,77.6,73.2,
2024,26,Duke University,83.9,79.3,76.1,96.2,100.0,74.8,
2024,27,New York University,83.5,73.2,84.0,94.9,75.4,80.7,
2024,28,Northwestern University,83.2,72.3,78.8,97.8,99.7,75.9,
2024,29,The University of Tokyo,83.1,93.9,94.2,67.8,100.0,49.7,
2024,30,University of Edinburgh,82.5,70.7,77.5,96.9,71.1,97.0,=
2024,30,Technical University of Munich,82.5,69.8,85.1,90.0,100.0,83.1,=
2024,32,"Nanyang Technological University, Singapore",82.3,66.2,80.9,94.5,99.7,93.3,
2024,33,École Polytechnique Fédérale de Lausanne,81.4,74.5,73.2,90.3,99.8,95.8,
2024,34,"University of California, San Diego",81.0,66.0,78.4,97.6,100.0,74.3,
2024,35,University of Hong Kong,80.3,65.6,72.3,96.4,95.2,96.8,
2024,36,Georgia Institute of Technology,80.0,63.4,78.9,94.1,94.6,84.8,
2024,37,University of Melbourne,79.2,64.8,76.4,90.1,98.3,92.7,
2024,38,King’s College London,79.0,59.8,75.1,97.7,74.2,97.5,=
2024,38,LMU Munich,79.0,65.3,76.8,92.2,100.0,76.9,=
2024,40,Paris Sciences et Lettres – PSL Research University Paris,78.5,75.7,72.8,83.2,99.7,81.6,
2024,41,University of British Columbia,78.0,62.5,76.6,90.5,76.7,95.0,
2024,42,University of Illinois at Urbana-Champaign,77.9,69.5,81.5,85.2,85.3,64.0,
2024,43,Shanghai Jiao Tong University,77.7,76.6,82.5,75.4,100.0,60.6,
2024,44,Fudan University,77.5,76.5,75.3,83.5,96.0,56.1,
2024,45,KU Leuven,77.0,60.1,74.9,91.9,100.0,79.6,
2024,46,London School of Economics and Political Science,76.8,59.5,73.5,95.4,55.9,94.1,
2024,47,Universität Heidelberg,76.7,67.7,64.3,94.6,99.3,76.4,
2024,48,Delft University of Technology,76.3,66.7,78.2,76.5,100.0,92.8,
